alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        6
       6 	        7
       7 	        7
       8 	        8
       9 	        9
      10 	        9
      11 	       10
      12 	       10
      13 	       11
      14 	       11
      15 	       12
      16 	       12
      17 	       13
      18 	       13
      19 	       14
      20 	       14
      21 	       15
      22 	       16
      23 	       16
      24 	       17
      25 	       17
      26 	       18
      27 	       18
      28 	       19
      29 	       19
      30 	       20
      31 	       20
      32 	       21
      33 	       21
      34 	       22
      35 	       23
      36 	       23
      37 	       24
      38 	       24
      39 	       25
      40 	       25
      41 	       26
      42 	       26
      43 	       27
      44 	       27
      45 	       28
      46 	       28
      47 	       29
      48 	       30
      49 	       30
      50 	       31
      51 	       31
      52 	       32
      53 	       32
      54 	       33
      55 	       34
      56 	       34
      57 	       35
      58 	       35
      59 	       36
      60 	       37
      61 	       37
      62 	       38
      63 	       38
      64 	       39
      65 	       40
      66 	       40
      67 	       41
      68 	       41
      69 	       42
      70 	       43
      71 	       43
      72 	       44
      73 	       44
      74 	       45
      75 	       46
      76 	       46
      77 	       47
      78 	       47
      79 	       48
      80 	       49
      81 	       49
      82 	       50
      83 	       50
      84 	       51
      85 	       52
      86 	       52
      87 	       53
      88 	       53
      89 	       54
      90 	       55
      91 	       55
      92 	       56
      93 	       56
      94 	       57
      95 	       58
      96 	       58
      97 	       59
      98 	       59
      99 	       60
     100 	       61
