alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        6
       6 	        7
       7 	        7
       8 	        8
       9 	        8
      10 	        9
      11 	        9
      12 	       10
      13 	       11
      14 	       11
      15 	       12
      16 	       12
      17 	       13
      18 	       13
      19 	       14
      20 	       14
      21 	       15
      22 	       15
      23 	       16
      24 	       16
      25 	       17
      26 	       18
      27 	       18
      28 	       19
      29 	       19
      30 	       20
      31 	       20
      32 	       21
      33 	       21
      34 	       22
      35 	       22
      36 	       23
      37 	       24
      38 	       24
      39 	       25
      40 	       25
      41 	       26
      42 	       26
      43 	       27
      44 	       27
      45 	       28
      46 	       29
      47 	       29
      48 	       30
      49 	       30
      50 	       31
      51 	       32
      52 	       32
      53 	       33
      54 	       33
      55 	       34
      56 	       35
      57 	       35
      58 	       36
      59 	       36
      60 	       37
      61 	       38
      62 	       38
      63 	       39
      64 	       39
      65 	       40
      66 	       41
      67 	       41
      68 	       42
      69 	       43
      70 	       43
      71 	       44
      72 	       44
      73 	       45
      74 	       46
      75 	       46
      76 	       47
      77 	       47
      78 	       48
      79 	       49
      80 	       49
      81 	       50
      82 	       50
      83 	       51
      84 	       52
      85 	       52
      86 	       53
      87 	       54
      88 	       54
      89 	       55
      90 	       55
      91 	       56
      92 	       57
      93 	       57
      94 	       58
      95 	       58
      96 	       59
      97 	       60
      98 	       60
      99 	       61
     100 	       61
