alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        5
       6 	        6
       7 	        6
       8 	        7
       9 	        8
      10 	        8
      11 	        9
      12 	        9
      13 	       10
      14 	       10
      15 	       11
      16 	       12
      17 	       12
      18 	       13
      19 	       14
      20 	       14
      21 	       15
      22 	       16
      23 	       16
      24 	       17
      25 	       18
      26 	       18
      27 	       19
      28 	       20
      29 	       20
      30 	       21
      31 	       22
      32 	       22
      33 	       23
      34 	       24
      35 	       24
      36 	       25
      37 	       26
      38 	       27
      39 	       27
      40 	       28
      41 	       29
      42 	       29
      43 	       30
      44 	       31
      45 	       31
      46 	       32
      47 	       33
      48 	       33
      49 	       34
      50 	       35
      51 	       35
      52 	       36
      53 	       37
      54 	       38
      55 	       38
      56 	       39
      57 	       40
      58 	       40
      59 	       41
      60 	       42
      61 	       42
      62 	       43
      63 	       44
      64 	       44
      65 	       45
      66 	       46
      67 	       46
      68 	       47
      69 	       48
      70 	       48
      71 	       49
      72 	       50
      73 	       51
      74 	       51
      75 	       52
      76 	       53
      77 	       53
      78 	       54
      79 	       55
      80 	       55
      81 	       56
      82 	       57
      83 	       57
      84 	       58
      85 	       59
      86 	       59
      87 	       60
      88 	       61
      89 	       61
      90 	       62
      91 	       63
      92 	       64
      93 	       64
      94 	       65
      95 	       66
      96 	       66
      97 	       67
      98 	       68
      99 	       68
     100 	       69
