alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        5
       6 	        6
       7 	        6
       8 	        7
       9 	        8
      10 	        8
      11 	        9
      12 	        9
      13 	       10
      14 	       10
      15 	       11
      16 	       12
      17 	       12
      18 	       13
      19 	       13
      20 	       14
      21 	       15
      22 	       15
      23 	       16
      24 	       17
      25 	       17
      26 	       18
      27 	       19
      28 	       19
      29 	       20
      30 	       21
      31 	       21
      32 	       22
      33 	       23
      34 	       23
      35 	       24
      36 	       25
      37 	       26
      38 	       26
      39 	       27
      40 	       28
      41 	       28
      42 	       29
      43 	       30
      44 	       30
      45 	       31
      46 	       32
      47 	       32
      48 	       33
      49 	       34
      50 	       34
      51 	       35
      52 	       36
      53 	       36
      54 	       37
      55 	       38
      56 	       38
      57 	       39
      58 	       40
      59 	       40
      60 	       41
      61 	       42
      62 	       42
      63 	       43
      64 	       44
      65 	       44
      66 	       45
      67 	       46
      68 	       46
      69 	       47
      70 	       48
      71 	       48
      72 	       49
      73 	       50
      74 	       51
      75 	       51
      76 	       52
      77 	       53
      78 	       53
      79 	       54
      80 	       55
      81 	       55
      82 	       56
      83 	       57
      84 	       57
      85 	       58
      86 	       59
      87 	       59
      88 	       60
      89 	       61
      90 	       61
      91 	       62
      92 	       63
      93 	       63
      94 	       64
      95 	       65
      96 	       65
      97 	       66
      98 	       67
      99 	       67
     100 	       68
