alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        4
       5 	        5
       6 	        6
       7 	        6
       8 	        7
       9 	        7
      10 	        8
      11 	        9
      12 	       10
      13 	       10
      14 	       11
      15 	       12
      16 	       13
      17 	       13
      18 	       14
      19 	       15
      20 	       16
      21 	       16
      22 	       17
      23 	       18
      24 	       19
      25 	       19
      26 	       20
      27 	       21
      28 	       22
      29 	       22
      30 	       23
      31 	       24
      32 	       25
      33 	       25
      34 	       26
      35 	       27
      36 	       28
      37 	       28
      38 	       29
      39 	       30
      40 	       31
      41 	       31
      42 	       32
      43 	       33
      44 	       34
      45 	       35
      46 	       35
      47 	       36
      48 	       37
      49 	       38
      50 	       38
      51 	       39
      52 	       40
      53 	       41
      54 	       41
      55 	       42
      56 	       43
      57 	       44
      58 	       44
      59 	       45
      60 	       46
      61 	       47
      62 	       47
      63 	       48
      64 	       49
      65 	       50
      66 	       50
      67 	       51
      68 	       52
      69 	       53
      70 	       53
      71 	       54
      72 	       55
      73 	       56
      74 	       56
      75 	       57
      76 	       58
      77 	       59
      78 	       59
      79 	       60
      80 	       61
      81 	       62
      82 	       62
      83 	       63
      84 	       64
      85 	       65
      86 	       66
      87 	       66
      88 	       67
      89 	       68
      90 	       69
      91 	       69
      92 	       70
      93 	       71
      94 	       72
      95 	       72
      96 	       73
      97 	       74
      98 	       75
      99 	       75
     100 	       76
