alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        6
       6 	        7
       7 	        8
       8 	        9
       9 	        9
      10 	       10
      11 	       11
      12 	       11
      13 	       12
      14 	       12
      15 	       13
      16 	       13
      17 	       14
      18 	       14
      19 	       15
      20 	       15
      21 	       16
      22 	       16
      23 	       17
      24 	       17
      25 	       18
      26 	       18
      27 	       19
      28 	       19
      29 	       20
      30 	       20
      31 	       21
      32 	       22
      33 	       22
      34 	       23
      35 	       23
      36 	       24
      37 	       24
      38 	       25
      39 	       25
      40 	       26
      41 	       26
      42 	       27
      43 	       27
      44 	       28
      45 	       28
      46 	       29
      47 	       29
      48 	       30
      49 	       31
      50 	       31
      51 	       32
      52 	       32
      53 	       33
      54 	       33
      55 	       34
      56 	       34
      57 	       35
      58 	       35
      59 	       36
      60 	       36
      61 	       37
      62 	       37
      63 	       38
      64 	       38
      65 	       39
      66 	       40
      67 	       40
      68 	       41
      69 	       41
      70 	       42
      71 	       42
      72 	       43
      73 	       43
      74 	       44
      75 	       44
      76 	       45
      77 	       45
      78 	       46
      79 	       46
      80 	       47
      81 	       47
      82 	       48
      83 	       49
      84 	       49
      85 	       50
      86 	       50
      87 	       51
      88 	       51
      89 	       52
      90 	       52
      91 	       53
      92 	       53
      93 	       54
      94 	       55
      95 	       55
      96 	       56
      97 	       56
      98 	       57
      99 	       57
     100 	       58
