alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        6
       6 	        6
       7 	        7
       8 	        8
       9 	        8
      10 	        9
      11 	        9
      12 	       10
      13 	       10
      14 	       11
      15 	       11
      16 	       12
      17 	       12
      18 	       13
      19 	       14
      20 	       14
      21 	       15
      22 	       15
      23 	       16
      24 	       16
      25 	       17
      26 	       17
      27 	       18
      28 	       19
      29 	       19
      30 	       20
      31 	       20
      32 	       21
      33 	       21
      34 	       22
      35 	       22
      36 	       23
      37 	       24
      38 	       24
      39 	       25
      40 	       25
      41 	       26
      42 	       27
      43 	       27
      44 	       28
      45 	       29
      46 	       29
      47 	       30
      48 	       30
      49 	       31
      50 	       32
      51 	       32
      52 	       33
      53 	       34
      54 	       34
      55 	       35
      56 	       35
      57 	       36
      58 	       37
      59 	       37
      60 	       38
      61 	       39
      62 	       39
      63 	       40
      64 	       40
      65 	       41
      66 	       42
      67 	       42
      68 	       43
      69 	       44
      70 	       44
      71 	       45
      72 	       45
      73 	       46
      74 	       47
      75 	       47
      76 	       48
      77 	       49
      78 	       49
      79 	       50
      80 	       50
      81 	       51
      82 	       52
      83 	       52
      84 	       53
      85 	       54
      86 	       54
      87 	       55
      88 	       55
      89 	       56
      90 	       57
      91 	       57
      92 	       58
      93 	       59
      94 	       59
      95 	       60
      96 	       60
      97 	       61
      98 	       62
      99 	       62
     100 	       63
