year,state,state_po,office,candidate,candidatevotes,totalvotes
2020,ALABAMA,AL,US PRESIDENT,"BIDEN, JOSEPH R. JR",849624,2323282
2020,ALABAMA,AL,US PRESIDENT,"TRUMP, DONALD J.",1441170,2323282
2020,ALASKA,AK,US PRESIDENT,"BIDEN, JOSEPH R. JR",153778,359530
2020,ALASKA,AK,US PRESIDENT,"TRUMP, DONALD J.",189951,359530
2020,ARIZONA,AZ,US PRESIDENT,"BIDEN, JOSEPH R. JR",1672143,3387326
2020,ARIZONA,AZ,US PRESIDENT,"TRUMP, DONALD J.",1661686,3387326
2020,ARKANSAS,AR,US PRESIDENT,"BIDEN, JOSEPH R. JR",423932,1219069
2020,ARKANSAS,AR,US PRESIDENT,"TRUMP, DONALD J.",760647,1219069
2020,CALIFORNIA,CA,US PRESIDENT,"BIDEN, JOSEPH R. JR",11110250,17500881
2020,CALIFORNIA,CA,US PRESIDENT,"TRUMP, DONALD J.",6006429,17500881
2020,COLORADO,CO,US PRESIDENT,"BIDEN, JOSEPH R. JR",1804352,3279980
2020,COLORADO,CO,US PRESIDENT,"TRUMP, DONALD J.",1364607,3279980
2020,CONNECTICUT,CT,US PRESIDENT,"BIDEN, JOSEPH R. JR",1080831,1823857
2020,CONNECTICUT,CT,US PRESIDENT,"TRUMP, DONALD J.",714717,1823857
2020,DELAWARE,DE,US PRESIDENT,"BIDEN, JOSEPH R. JR",296268,504346
2020,DELAWARE,DE,US PRESIDENT,"TRUMP, DONALD J.",200603,504346
2020,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"BIDEN, JOSEPH R. JR",317323,344356
2020,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"TRUMP, DONALD J.",18586,344356
2020,FLORIDA,FL,US PRESIDENT,"BIDEN, JOSEPH R. JR",5297045,11067456
2020,FLORIDA,FL,US PRESIDENT,"TRUMP, DONALD J.",5668731,11067456
2020,GEORGIA,GA,US PRESIDENT,"BIDEN, JOSEPH R. JR",2473633,4999960
2020,GEORGIA,GA,US PRESIDENT,"TRUMP, DONALD J.",2461854,4999960
2020,HAWAII,HI,US PRESIDENT,"BIDEN, JOSEPH R. JR",366130,579784
2020,HAWAII,HI,US PRESIDENT,"TRUMP, DONALD J.",196864,579784
2020,IDAHO,ID,US PRESIDENT,"BIDEN, JOSEPH R. JR",287021,868014
2020,IDAHO,ID,US PRESIDENT,"TRUMP, DONALD J.",554119,868014
2020,ILLINOIS,IL,US PRESIDENT,"BIDEN, JOSEPH R. JR",3471915,6033743
2020,ILLINOIS,IL,US PRESIDENT,"TRUMP, DONALD J.",2446891,6033743
2020,INDIANA,IN,US PRESIDENT,"BIDEN, JOSEPH R. JR",1242416,3033118
2020,INDIANA,IN,US PRESIDENT,"TRUMP, DONALD J.",1729519,3033118
2020,IOWA,IA,US PRESIDENT,"BIDEN, JOSEPH R. JR",759061,1700130
2020,IOWA,IA,US PRESIDENT,"TRUMP, DONALD J.",897672,1700130
2020,KANSAS,KS,US PRESIDENT,"BIDEN, JOSEPH R. JR",570323,1372303
2020,KANSAS,KS,US PRESIDENT,"TRUMP, DONALD J.",771406,1372303
2020,KENTUCKY,KY,US PRESIDENT,"BIDEN, JOSEPH R. JR",772474,2136768
2020,KENTUCKY,KY,US PRESIDENT,"TRUMP, DONALD J.",1326646,2136768
2020,LOUISIANA,LA,US PRESIDENT,"BIDEN, JOSEPH R. JR",856034,2148062
2020,LOUISIANA,LA,US PRESIDENT,"TRUMP, DONALD J.",1255776,2148062
2020,MAINE,ME,US PRESIDENT,"BIDEN, JOSEPH R. JR",435072,828305
2020,MAINE,ME,US PRESIDENT,"TRUMP, DONALD J.",360737,828305
2020,MARYLAND,MD,US PRESIDENT,"BIDEN, JOSEPH R. JR",1985023,3037030
2020,MARYLAND,MD,US PRESIDENT,"TRUMP, DONALD J.",976414,3037030
2020,MASSACHUSETTS,MA,US PRESIDENT,"BIDEN, JOSEPH R. JR",2382202,3658005
2020,MASSACHUSETTS,MA,US PRESIDENT,"TRUMP, DONALD J.",1167202,3658005
2020,MICHIGAN,MI,US PRESIDENT,"BIDEN, JOSEPH R. JR",2804040,5539302
2020,MICHIGAN,MI,US PRESIDENT,"TRUMP, DONALD J.",2649852,5539302
2020,MINNESOTA,MN,US PRESIDENT,"BIDEN, JOSEPH R. JR",1717077,3277171
2020,MINNESOTA,MN,US PRESIDENT,"TRUMP, DONALD J.",1484065,3277171
2020,MISSISSIPPI,MS,US PRESIDENT,"BIDEN, JOSEPH R. JR",539398,1313759
2020,MISSISSIPPI,MS,US PRESIDENT,"TRUMP, DONALD J.",756764,1313759
2020,MISSOURI,MO,US PRESIDENT,"BIDEN, JOSEPH R. JR",1253014,3025962
2020,MISSOURI,MO,US PRESIDENT,"TRUMP, DONALD J.",1718736,3025962
2020,MONTANA,MT,US PRESIDENT,"BIDEN, JOSEPH R. JR",244786,603674
2020,MONTANA,MT,US PRESIDENT,"TRUMP, DONALD J.",343602,603674
2020,NEBRASKA,NE,US PRESIDENT,"BIDEN, JOSEPH R. JR",374583,956383
2020,NEBRASKA,NE,US PRESIDENT,"TRUMP, DONALD J.",556846,956383
2020,NEVADA,NV,US PRESIDENT,"BIDEN, JOSEPH R. JR",703486,1405376
2020,NEVADA,NV,US PRESIDENT,"TRUMP, DONALD J.",669890,1405376
2020,NEW HAMPSHIRE,NH,US PRESIDENT,"BIDEN, JOSEPH R. JR",424921,806182
2020,NEW HAMPSHIRE,NH,US PRESIDENT,"TRUMP, DONALD J.",365654,806182
2020,NEW JERSEY,NJ,US PRESIDENT,"BIDEN, JOSEPH R. JR",2608335,4549353
2020,NEW JERSEY,NJ,US PRESIDENT,"TRUMP, DONALD J.",1883274,4549353
2020,NEW MEXICO,NM,US PRESIDENT,"BIDEN, JOSEPH R. JR",501614,923965
2020,NEW MEXICO,NM,US PRESIDENT,"TRUMP, DONALD J.",401894,923965
2020,NEW YORK,NY,US PRESIDENT,"BIDEN, JOSEPH R. JR",5230985,8661735
2020,NEW YORK,NY,US PRESIDENT,"TRUMP, DONALD J.",3244798,8661735
2020,NORTH CAROLINA,NC,US PRESIDENT,"BIDEN, JOSEPH R. JR",2684292,5524802
2020,NORTH CAROLINA,NC,US PRESIDENT,"TRUMP, DONALD J.",2758773,5524802
2020,NORTH DAKOTA,ND,US PRESIDENT,"BIDEN, JOSEPH R. JR",114902,361819
2020,NORTH DAKOTA,ND,US PRESIDENT,"TRUMP, DONALD J.",235595,361819
2020,OHIO,OH,US PRESIDENT,"BIDEN, JOSEPH R. JR",2679165,5922202
2020,OHIO,OH,US PRESIDENT,"TRUMP, DONALD J.",3154834,5922202
2020,OKLAHOMA,OK,US PRESIDENT,"BIDEN, JOSEPH R. JR",503890,1560699
2020,OKLAHOMA,OK,US PRESIDENT,"TRUMP, DONALD J.",1020280,1560699
2020,OREGON,OR,US PRESIDENT,"BIDEN, JOSEPH R. JR",1340383,2374321
2020,OREGON,OR,US PRESIDENT,"TRUMP, DONALD J.",958448,2374321
2020,PENNSYLVANIA,PA,US PRESIDENT,"BIDEN, JOSEPH R. JR",3458229,6915283
