alpha = 0.100000
       n 	  kmin(n)
       1 	        2
       2 	        3
       3 	        4
       4 	        5
       5 	        5
       6 	        6
       7 	        7
       8 	        7
       9 	        8
      10 	        8
      11 	        9
      12 	        9
      13 	       10
      14 	       11
      15 	       11
      16 	       12
      17 	       12
      18 	       13
      19 	       13
      20 	       14
      21 	       14
      22 	       15
      23 	       16
      24 	       16
      25 	       17
      26 	       18
      27 	       18
      28 	       19
      29 	       20
      30 	       20
      31 	       21
      32 	       22
      33 	       22
      34 	       23
      35 	       24
      36 	       24
      37 	       25
      38 	       26
      39 	       26
      40 	       27
      41 	       28
      42 	       28
      43 	       29
      44 	       30
      45 	       30
      46 	       31
      47 	       32
      48 	       32
      49 	       33
      50 	       34
      51 	       34
      52 	       35
      53 	       36
      54 	       36
      55 	       37
      56 	       38
      57 	       38
      58 	       39
      59 	       40
      60 	       40
      61 	       41
      62 	       42
      63 	       42
      64 	       43
      65 	       44
      66 	       44
      67 	       45
      68 	       46
      69 	       46
      70 	       47
      71 	       48
      72 	       48
      73 	       49
      74 	       50
      75 	       50
      76 	       51
      77 	       52
      78 	       52
      79 	       53
      80 	       54
      81 	       54
      82 	       55
      83 	       56
      84 	       56
      85 	       57
      86 	       58
      87 	       58
      88 	       59
      89 	       60
      90 	       60
      91 	       61
      92 	       62
      93 	       62
      94 	       63
      95 	       64
      96 	       64
      97 	       65
      98 	       66
      99 	       66
     100 	       67
